event_id,node,ticker,asset_name,node_specificity,mechanism_consistency,supporting_case_ids,candidate_quality,evidence_level
eval_uranium_nuclear_fuel_disruption,maritime_chokepoint,BOAT,SonicShares Global Shipping ETF,potentially_broad,weak_cooccurrence,case_2023_red_sea_attacks,likely_noise,historical_supported
eval_uranium_nuclear_fuel_disruption,maritime_chokepoint,MATX,Matson Inc,potentially_broad,weak_cooccurrence,case_2023_red_sea_attacks,likely_noise,historical_supported
hard_hormuz_ambiguous_energy_shipping,maritime_chokepoint,BOAT,SonicShares Global Shipping ETF,potentially_broad,,case_2023_red_sea_attacks,,historical_supported
hard_hormuz_ambiguous_energy_shipping,maritime_chokepoint,MATX,Matson Inc,potentially_broad,,case_2023_red_sea_attacks,,historical_supported
