all_estimation_windows_sufficient,all_event_windows_covered,download_status,earliest_date,event_ids,latest_date,price_source,row_count,symbol
True,True,insufficient_downloaded_coverage,2023-08-14,v3_20240223_sovcomflot_sanctions;v3_20240624_eu_russian_lng_transshipment_ban;v3_20240821_sounion_tanker_attack;v3_20241203_iran_shadow_fleet_sanctions;v3_20250110_us_russia_oil_sanctions;v3_20250224_eu_16th_russia_sanctions,2025-11-25,local_csv,575,XLE
True,True,insufficient_downloaded_coverage,2023-08-14,v3_20240223_sovcomflot_sanctions;v3_20240624_eu_russian_lng_transshipment_ban;v3_20240821_sounion_tanker_attack;v3_20241203_iran_shadow_fleet_sanctions;v3_20250110_us_russia_oil_sanctions;v3_20250224_eu_16th_russia_sanctions,2025-11-25,local_csv,575,XOM
True,True,insufficient_downloaded_coverage,2023-08-14,v3_20240223_sovcomflot_sanctions;v3_20240624_eu_russian_lng_transshipment_ban;v3_20241203_iran_shadow_fleet_sanctions;v3_20250110_us_russia_oil_sanctions;v3_20250224_eu_16th_russia_sanctions,2025-08-14,local_csv,503,VLO
True,True,insufficient_downloaded_coverage,2023-08-14,v3_20240223_sovcomflot_sanctions;v3_20240624_eu_russian_lng_transshipment_ban;v3_20241203_iran_shadow_fleet_sanctions;v3_20250110_us_russia_oil_sanctions;v3_20250224_eu_16th_russia_sanctions,2025-08-14,local_csv,503,MPC
True,True,insufficient_downloaded_coverage,2023-08-14,v3_20240223_sovcomflot_sanctions;v3_20240624_eu_russian_lng_transshipment_ban;v3_20250110_us_russia_oil_sanctions;v3_20250224_eu_16th_russia_sanctions,2025-08-14,local_csv,503,DOW
True,True,insufficient_downloaded_coverage,2023-08-14,v3_20240223_sovcomflot_sanctions;v3_20240624_eu_russian_lng_transshipment_ban;v3_20250110_us_russia_oil_sanctions;v3_20250224_eu_16th_russia_sanctions,2025-08-14,local_csv,503,LYB
True,True,insufficient_downloaded_coverage,2023-08-14,v3_20240223_sovcomflot_sanctions;v3_20240624_eu_russian_lng_transshipment_ban;v3_20241203_iran_shadow_fleet_sanctions;v3_20250110_us_russia_oil_sanctions;v3_20250224_eu_16th_russia_sanctions,2025-11-25,local_csv,575,EUFN
True,True,insufficient_downloaded_coverage,2023-08-14,v3_20240223_sovcomflot_sanctions;v3_20240624_eu_russian_lng_transshipment_ban;v3_20241203_iran_shadow_fleet_sanctions;v3_20250110_us_russia_oil_sanctions;v3_20250224_eu_16th_russia_sanctions,2025-11-25,local_csv,575,V
True,True,insufficient_downloaded_coverage,2023-08-14,v3_20240223_sovcomflot_sanctions;v3_20240624_eu_russian_lng_transshipment_ban;v3_20241203_iran_shadow_fleet_sanctions;v3_20250110_us_russia_oil_sanctions;v3_20250224_eu_16th_russia_sanctions,2025-11-25,local_csv,575,MA
True,True,insufficient_downloaded_coverage,2023-08-14,v3_20240306_true_confidence_attack;v3_20240821_sounion_tanker_attack;v3_20241203_iran_shadow_fleet_sanctions,2025-08-14,local_csv,503,BOAT
True,True,insufficient_downloaded_coverage,2023-08-14,v3_20240306_true_confidence_attack;v3_20240821_sounion_tanker_attack;v3_20241203_iran_shadow_fleet_sanctions,2025-08-14,local_csv,503,MATX
True,True,insufficient_downloaded_coverage,2023-08-14,v3_20240306_true_confidence_attack;v3_20240821_sounion_tanker_attack,2025-11-25,local_csv,575,DAC
True,True,insufficient_downloaded_coverage,2023-08-14,v3_20240306_true_confidence_attack;v3_20240821_sounion_tanker_attack,2025-11-25,local_csv,575,MAERSK-B.CO
True,True,insufficient_downloaded_coverage,2023-08-14,v3_20240306_true_confidence_attack;v3_20240821_sounion_tanker_attack,2025-11-25,local_csv,575,FDX
True,True,insufficient_downloaded_coverage,2023-08-14,v3_20240306_true_confidence_attack;v3_20240821_sounion_tanker_attack,2025-11-25,local_csv,575,UPS
True,True,insufficient_downloaded_coverage,2023-08-14,v3_20240223_sovcomflot_sanctions;v3_20240306_true_confidence_attack;v3_20240821_sounion_tanker_attack;v3_20241203_iran_shadow_fleet_sanctions;v3_20250110_us_russia_oil_sanctions;v3_20250224_eu_16th_russia_sanctions,2025-11-25,local_csv,575,CB
True,True,insufficient_downloaded_coverage,2023-08-14,v3_20240223_sovcomflot_sanctions;v3_20240306_true_confidence_attack;v3_20240821_sounion_tanker_attack;v3_20241203_iran_shadow_fleet_sanctions;v3_20250110_us_russia_oil_sanctions;v3_20250224_eu_16th_russia_sanctions,2025-11-25,local_csv,575,TRV
True,True,insufficient_downloaded_coverage,2023-08-14,v3_20240223_sovcomflot_sanctions;v3_20240306_true_confidence_attack;v3_20240821_sounion_tanker_attack;v3_20241203_iran_shadow_fleet_sanctions;v3_20250110_us_russia_oil_sanctions;v3_20250224_eu_16th_russia_sanctions,2025-11-25,local_csv,575,FRO
True,True,insufficient_downloaded_coverage,2023-08-14,v3_20240223_sovcomflot_sanctions;v3_20240306_true_confidence_attack;v3_20240821_sounion_tanker_attack;v3_20241203_iran_shadow_fleet_sanctions;v3_20250110_us_russia_oil_sanctions;v3_20250224_eu_16th_russia_sanctions,2025-11-25,local_csv,575,DHT
True,True,insufficient_downloaded_coverage,2023-08-14,v3_20240306_true_confidence_attack;v3_20240821_sounion_tanker_attack;v3_20250201_canada_mexico_china_tariffs;v3_20250730_copper_tariffs,2025-11-25,local_csv,575,KNIN.SW
True,True,insufficient_downloaded_coverage,2023-08-14,v3_20240306_true_confidence_attack;v3_20240821_sounion_tanker_attack;v3_20250201_canada_mexico_china_tariffs;v3_20250730_copper_tariffs,2025-11-25,local_csv,575,JBHT
True,True,insufficient_downloaded_coverage,2023-08-14,v3_20240913_ustr_section301_tariffs_final;v3_20250730_copper_tariffs,2025-08-14,local_csv,503,LIT
True,True,insufficient_downloaded_coverage,2023-08-14,v3_20240913_ustr_section301_tariffs_final;v3_20250730_copper_tariffs,2025-08-14,local_csv,503,ALB
True,True,insufficient_downloaded_coverage,2023-08-14,v3_20250201_canada_mexico_china_tariffs,2025-11-25,local_csv,575,ADM
True,True,insufficient_downloaded_coverage,2023-08-14,v3_20250201_canada_mexico_china_tariffs,2025-11-25,local_csv,575,MOO
True,True,insufficient_downloaded_coverage,2023-08-14,v3_20240223_sovcomflot_sanctions;v3_20240306_true_confidence_attack;v3_20240624_eu_russian_lng_transshipment_ban;v3_20240821_sounion_tanker_attack;v3_20240913_ustr_section301_tariffs_final;v3_20241203_iran_shadow_fleet_sanctions;v3_20250110_us_russia_oil_sanctions;v3_20250201_canada_mexico_china_tariffs;v3_20250224_eu_16th_russia_sanctions;v3_20250225_copper_import_investigation;v3_20250404_china_rare_earth_export_controls;v3_20250730_copper_tariffs,2025-11-25,local_csv,575,SPY
