evaluated,georisk_minus_system_hit_rate,hit_rate,hits,max_abs_SCAR,mean_abs_SCAR,median_abs_SCAR,system
186,0.0,0.11827956989247312,22,5.615768508276913,0.9443441804592598,0.7431434355874895,Full GeoRisk
132,0.01221896383186706,0.10606060606060606,14,5.6157714726161645,0.9441325488390555,0.7431410905551724,Node-Only Baseline
36,-0.04838709677419353,0.16666666666666666,6,4.295534396317674,1.0080370382169563,0.62808760959893,Fixed ETF Control
185.342,0.01771497194950912,0.100564597942964,18.639,,0.9056198754396922,0.6662531409080229,Random-Matched Baseline mean over 1000 runs
