event_id,old_exposures,replay_exposures,shared,old_only,replay_only,jaccard_overlap,evidence_changes,car_evaluated_count,car_missing_in_replay,classification
v3_20250404_china_rare_earth_export_controls,12,12,12,0,0,1.0,0,12,0,CONSISTENT
v3_20240223_sovcomflot_sanctions,18,18,18,0,0,1.0,0,18,0,CONSISTENT
v3_20240306_true_confidence_attack,16,16,16,0,0,1.0,0,16,0,CONSISTENT
v3_20241203_iran_shadow_fleet_sanctions,22,22,22,0,0,1.0,0,22,0,CONSISTENT
v3_20250225_copper_import_investigation,12,12,12,0,0,1.0,0,12,0,CONSISTENT
